,sst_SanPablo,upwelling_SanPablo,sst_Alameda,upwelling_Alameda,sst_SanGregorio,upwelling_SanGregorio,sst_Farallones,upwelling_Farallones
2023-06-21 15:00:00,0.6900855088271481,0.8416346482712039,0.6988918542293846,0.8438713957729177,0.5580977152201685,0.7861445708401701,0.5419211019174508,0.7277819196977245
2023-06-21 15:30:00,0.6893736188714457,0.8410812408845951,0.6988406106321002,0.8439293061071498,0.5578823775398546,0.7860924084208639,0.5416388479756431,0.7278285978468586
2023-06-21 16:00:00,0.6884753064385274,0.8403829128187512,0.6987759478844674,0.8440023814087725,0.5576106494252038,0.7860265862394742,0.5412826802517766,0.727887499593367
2023-06-21 16:30:00,0.6873505972816116,0.8395085889850774,0.6986949885414715,0.8440938734753048,0.5572704391736922,0.7859441752570315,0.5408367495424251,0.7279612460219242
2023-06-21 17:00:00,0.6859561625338996,0.8384245864881378,0.698594613684264,0.8442073069935866,0.5568486403527982,0.7858420006309921,0.540283876586454,0.7280526781773998
2023-06-21 17:30:00,0.6842481656156708,0.8370968277477858,0.6984716678475662,0.8443462479515389,0.556331992953283,0.7857168503170867,0.5396066808219913,0.7281646703950605
2023-06-21 18:00:00,0.6821869149858107,0.8354944574445122,0.6983232939362157,0.8445139251493348,0.5557084907874997,0.785565815991081,0.5387894251342671,0.7282998252227588
2023-06-21 18:30:00,0.6797434383265907,0.8335949531441824,0.6981474064512249,0.8447126954071396,0.5549693700968888,0.7853867747600003,0.537820622423602,0.7284600423560262
2023-06-21 19:00:00,0.676907516448703,0.8313903706767705,0.6979432697901071,0.8449433900285328,0.5541115397063289,0.7851789778316565,0.5366962209310953,0.7286459918602831
2023-06-21 19:30:00,0.6736958476292539,0.8288936909107663,0.6977120859360911,0.8452046506535593,0.5531400506328042,0.7849436487414081,0.5354228412790736,0.7288565788406477
2023-06-21 20:00:00,0.6701581065658441,0.8261435298490497,0.6974574305966,0.8454924363791022,0.5520699288421484,0.7846844273108093,0.5340201787576493,0.7290885461603611
2023-06-21 20:30:00,0.6663782434237766,0.8232051484792409,0.697185346711878,0.8457999180848843,0.5509265681943446,0.7844074648328914,0.5325215183779152,0.7293363892631303
2023-06-21 21:00:00,0.6624690338563215,0.8201662160809092,0.6969039521519883,0.8461179217746695,0.5497440818937951,0.7841210247349806,0.5309715740347933,0.7295927135246597
2023-06-21 21:30:00,0.6585598242888664,0.8171272836825776,0.6966225575920986,0.8464359254644547,0.5485615955932455,0.7838345846370698,0.5294216296916714,0.7298490377861891
2023-06-21 22:00:00,0.6547799611467989,0.8141889023127687,0.6963504737073766,0.8467434071702368,0.5474182349454416,0.7835576221591518,0.5279229693119373,0.7300968808889583
2023-06-21 22:30:00,0.6512422200833891,0.8114387412510522,0.6960958183678855,0.8470311928957797,0.5463481131547858,0.7832984007285531,0.526520306790513,0.7303288482086717
2023-06-21 23:00:00,0.64803055126394,0.808942061485048,0.6958646345138695,0.8472924535208062,0.5453766240812612,0.7830630716383047,0.5252469271384913,0.7305394351890363
2023-06-21 23:30:00,0.6451946293860523,0.806737479017636,0.6956604978527517,0.8475231481421994,0.5445187936907012,0.7828552747099609,0.5241225256459846,0.7307253846932932
2023-06-22 00:00:00,0.6427511527268323,0.8048379747173062,0.6954846103677609,0.8477219184000042,0.5437796730000903,0.7826762334788802,0.5231537229353195,0.7308856018265606
2023-06-22 00:30:00,0.6406899020969722,0.8032356044140325,0.6953362364564104,0.8478895955978001,0.5431561708343071,0.7825251991528744,0.5223364672475953,0.7310207566542589
2023-06-22 01:00:00,0.6389819051787434,0.8019078456736807,0.6952132906197126,0.8480285365557524,0.5426395234347918,0.7824000488389691,0.5216592714831325,0.7311327488719196
2023-06-22 01:30:00,0.6375874704310314,0.800823843176741,0.6951129157625051,0.8481419700740341,0.5422177246138978,0.7822978742129296,0.5211063985271615,0.7312241810273952
2023-06-22 02:00:00,0.6364627612741156,0.7999495193430672,0.6950319564195092,0.8482334621405665,0.5418775143623863,0.782215463230487,0.52066046781781,0.7312979274559525
2023-06-22 02:30:00,0.6355644488411973,0.7992511912772233,0.6949672936718764,0.8483065374421892,0.5416057862477355,0.7821496410490972,0.5203043000939435,0.7313568292024608
